champion,cluster,totalGames,winRate,avgKDA,avgDamage
Illaoi,1,2333,48.52121731675953,1.4944326798278573,27452.882554650663
Shyvana,1,1753,48.77353108956075,2.3665095350332117,22320.224187107815
Zed,2,10082,49.45447331878596,2.5360412942764383,23658.375917476693
Ekko,2,10044,49.94026284348865,2.676161203489815,21207.37674233373
Diana,2,7893,49.9809958190802,2.2414800995024877,22220.72304573673
Akali,2,7588,50.61939905113337,2.40699462921405,23773.124011597258
Kayn,2,7429,49.17216314443397,2.3501667778519013,20882.001884506662
Nocturne,2,6731,50.58683702273065,2.701890359168242,18535.613578963006
Shaco,2,6179,50.784916653180126,2.8131974912399516,20592.796892701084
Pyke,2,6093,50.05744296733957,2.3202315443436006,12098.04332840965
Talon,2,6076,51.30019749835418,2.656738730450782,22908.85039499671
Khazix,2,6076,50.88874259381172,2.7364829396325456,21150.7918038183
Katarina,2,4986,49.478539911752904,2.4516388497888597,24151.63598074609
Briar,2,4659,49.40974458038206,2.218085436170872,22439.900837089503
Qiyana,2,4592,51.00174216027874,2.401769911504425,22421.225827526134
Leblanc,2,4498,50.75589150733659,2.8704611016987958,23286.17963539351
Elise,2,4446,50.40485829959515,2.420056252704457,19582.594242015293
Rengar,2,4370,49.65675057208238,2.4224287532297253,21008.629061784897
Nidalee,2,4307,49.77942883677734,3.0435311170337123,19346.730206640354
Graves,2,4261,48.43933348979113,2.502990060626057,21965.679652663694
Akshan,2,3937,51.714503429006854,2.4104938271604937,24645.356870713742
Belveth,2,3876,53.14757481940144,2.784481862592246,16062.087719298246
Fizz,2,3699,50.77047850770479,2.4285987932190403,22164.196269261964
Naafiri,2,3237,50.78776645041705,2.8791073300043153,21586.96169292555
Lillia,2,3202,49.344159900062465,2.9030187048583245,22327.12336039975
Evelynn,2,2830,50.91872791519435,2.9753246753246754,22195.00848056537
Kassadin,2,2383,51.02811582039446,2.505516549648947,23012.36676458246
Nilah,2,2190,50.95890410958904,2.308176589460594,20117.552511415524
Karma,3,9753,49.66676919922075,2.9424664654259036,11253.89387880652
Ahri,3,9517,48.84942734054849,2.6022297727755364,21670.351896606073
Lux,3,9350,49.155080213903744,2.694104299518798,20986.335935828876
Aurora,3,7556,49.589730015881415,2.561329016506555,25903.22683959767
Vladimir,3,7497,49.85994397759104,2.3211131849458173,25286.778177937842
Hwei,3,7355,50.80897348742353,2.5557201132850054,25278.82243371856
Syndra,3,6994,51.11524163568774,2.365353808760979,23675.250500428938
Viktor,3,6789,48.519664162615996,2.259478604192069,25058.980114891736
Orianna,3,6574,48.72223912382111,2.675334370139969,21491.197292363857
Malzahar,3,6126,49.73881815213843,2.147653194263364,22442.10104472739
Xerath,3,5540,49.74729241877257,2.927929540653754,25888.671119133574
TwistedFate,3,5440,50.845588235294116,2.597483829696496,18817.295772058824
Azir,3,5355,49.561157796451916,2.0531254312129157,23925.763398692812
Morgana,3,5104,49.686520376175544,2.724478594950604,16291.010775862069
Ryze,3,5058,50.71174377224199,2.2936744001586358,23891.995650454726
Swain,3,5036,51.37013502779985,2.5712090688701466,22321.318903891977
Corki,3,5012,48.86272944932163,2.4159925549430885,25366.79249800479
Teemo,3,4937,50.415231922219974,1.8897008837525493,26326.334616163662
Zyra,3,4888,49.93862520458266,2.4359083492941758,22668.17921440262
Taliyah,3,4763,51.102246483308846,2.5321572130415366,23484.704597942473
Ziggs,3,4669,51.210109231098734,2.611481075613251,28244.427072178198
Zoe,3,4497,51.923504558594615,2.642174153244656,23186.62953079831
Annie,3,4268,50.3045923149016,2.2983630063328953,22885.830365510777
Veigar,3,4227,50.08280104092737,2.3526624548736463,22591.738821859475
FiddleSticks,3,4013,51.6820333914777,2.5653811193351514,19707.12409668577
Neeko,3,3977,52.07442796077445,2.4672521518766115,17659.700025144582
Zilean,3,3514,51.10984632896983,3.5464725643896977,10296.282299373934
Velkoz,3,3299,49.105789633222194,2.3273065139872435,24581.25674446802
Anivia,3,3199,49.859331040950295,2.5411450721230224,19686.887464832762
Brand,3,3144,48.791348600508904,2.03270434332502,23965.412531806614
Karthus,3,3091,49.43384018117114,2.4090618726044903,32274.08346813329
Lissandra,3,3012,50.066401062417,2.3929400559557115,20938.270252324037
Kennen,3,2844,50.98452883263009,2.1345727653287367,24421.754922644162
Vex,3,2707,51.27447358699667,2.397470755611761,24229.625046176578
AurelionSol,3,2592,49.266975308641975,2.572148577740956,24519.795910493827
Heimerdinger,3,2005,50.82294264339152,1.753886840839878,27958.332668329178
Cassiopeia,3,1989,53.64504776269482,1.9962118023402644,22766.84766214178
Kaisa,4,14095,49.67719049308265,2.5620268203592054,23510.482653423198
Jhin,4,12837,48.4692685206824,2.887674166113758,21322.87536028667
Lucian,4,11634,50.575898229327834,2.476878790677627,24711.10323190648
Jinx,4,11417,50.11824472278181,2.385973068042707,22449.447928527636
Smolder,4,10935,49.876543209876544,2.3018020163531,27352.68962048468
Sivir,4,10639,51.922173136572994,2.640848853868195,24109.058464141366
Aphelios,4,9807,50.01529519730804,2.0522117354650184,24740.972060772918
Caitlyn,4,9432,49.10941475826972,2.193681369467963,23032.5554495335
Tristana,4,8345,51.4319952067106,2.511460835597063,23149.663151587778
Ezreal,4,7839,46.740655695879575,2.4953992570832018,26120.82969766552
Vayne,4,7697,51.14979862284007,2.1286483175075483,23210.43679355593
Twitch,4,7567,49.92731597726973,2.354739129551778,25677.81974362363
Ashe,4,6898,51.05827776167005,2.3854263788280856,21011.995360974197
MissFortune,4,5800,49.79310344827586,2.4284624189240747,23962.484827586206
Varus,4,5645,46.74933569530558,2.260154738878143,23859.1215234721
Draven,4,5199,49.77880361608001,2.097703077814721,23786.404500865552
Samira,4,3927,51.84619302266361,2.335358682869463,24693.766997708175
Zeri,4,3713,49.501750605979,2.3815279787184394,25008.609210880688
Xayah,4,3408,49.4424882629108,2.3915072083879423,23750.30575117371
Quinn,4,3090,52.200647249190936,2.0908024631023356,24552.13656957929
KogMaw,4,2805,51.800356506238856,2.1651366238254672,28656.43778966132
Kalista,4,1047,43.64851957975167,1.8735443211398823,21398.87488061127
Nami,5,15259,51.41883478602792,3.4267692936448473,9042.937676125564
Lulu,5,12729,50.67169455573887,3.366047478540773,7161.036923560374
Milio,5,9451,50.77769548195958,3.7993221407740205,6005.591365993017
Sona,5,8725,51.20916905444126,3.1183825953191957,10974.0358739255
Senna,5,7993,49.55586137870637,2.9553757649377737,18572.22219442012
Bard,5,7940,50.35264483627204,3.1434497304898055,14398.104534005039
Soraka,5,6172,50.55087491898899,3.062561382832449,5366.711924821776
Janna,5,6034,50.911501491547895,3.491219691403379,7208.396420285051
Yuumi,5,5990,49.515859766277124,4.6677461139896375,8058.164106844742
Rakan,5,5078,49.4486018117369,3.1344359305060308,7110.6345017723515
Seraphine,5,5070,49.23076923076923,2.9739021899466698,13218.91439842209
Renata,5,2019,48.14264487369985,2.887804441260745,9431.84299157999
